code,parent,urn,name#es,name#en,name#ca,description#es,description#en,description#ca
29,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).29,Dorada (Sparus aurata),,,,,
30,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).30,Lubina o robalo (Dicentrarchus labrax),,,,,
31,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).31,Rodaballo (Scophtalmus maximus),,,,,
32,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).32,Salmón del Atlántico (Salmo salar),,,,,
33,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).33,Atunes (Thunnus spp.),,,,,
34,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).34,Anguila (Anguilla anguilla),,,,,
35,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).35,Tilapias (Oreochromis spp.),,,,,
36,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).36,Camarón (Palaemon serratus),,,,,
37,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).37,Langostino tigre (Penaeus japonicus),,,,,
38,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).38,Cangrejo de las marismas (Procambarus clarkii),,,,,
39,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).39,Cangrejo de California (Pacifastacus leniusculus),,,,,
40,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).40,Trucha común (Salmo trutta),,,,,
41,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).41,Tenca (Tinca tinca),,,,,
42,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).42,Esturión (Acipenser sturio),,,,,
43,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).43,Carpa común (Cyprinus carpio carpio),,,,,
44,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).44,Mejillón atlántico (Mytilus edulis),,,,,
45,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).45,Almeja fina (Ruditapes decussatus),,,,,
46,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).46,Ostra (Ostrea edulis),,,,,
47,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).47,Berberecho (Cerastoderma edule),,,,,
54,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).54,Pez de limón (Seriola dumerili),,,,,
55,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).55,Zamburiña (Chlamys varia),,,,,
56,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).56,Baila (Dicentrarchus punctatus),,,,,
57,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).57,Corvina (Argyrosomus regius),,,,,
58,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).58,Sargo (Diplodus sargus),,,,,
59,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).59,Vieira o venera (Pecten maximus),,,,,
60,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).60,Almeja babosa o chocha (Venerupis corrugata),,,,,
61,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).61,Almeja japonesa (Ruditapes philippinarum),,,,,
62,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).62,Atún rojo o de aleta azul (Thunnus thynnus),,,,,
63,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).63,Peces ornamentales,,,,,
64,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).64,Breca (Pagellus erythrinus),,,,,
